id;plane_id;article;batch_size;release_date;pf_time;workload_ wc
3413;1;124380;14;11.07.2021;2.9;478.9
3415;1;191609;7;11.07.2021;6.6;244.6
3417;1;811103;6;11.07.2021;3.9;207.9
3434;1;124534;7;11.07.2021;1.1;239.1
3442;1;41001;3;11.07.2021;0.49;102.49
3443;1;282467;21;11.07.2021;12;726
3445;1;815322;3;11.07.2021;1.5;103.5
3455;1;141880;7;11.07.2021;11;249
3463;1;46247;3;11.07.2021;4;106
3473;1;899577;56;11.07.2021;0.052;1904.052
3480;1;124414;7;11.07.2021;5.7;243.7
3481;1;805211;6;11.07.2021;1.3;205.3
3488;1;124384;14;11.07.2021;3.9;479.9
3492;1;173259;7;11.07.2021;0.96;238.96
3496;1;811137;3;11.07.2021;18;120
3497;1;84582;7;11.07.2021;0.57;238.57
3498;1;15695;14;11.07.2021;1.4;477.4
3509;1;84507;3;11.07.2021;1.8;103.8
3514;1;1177;11;11.07.2021;12;386
3515;1;124335;42;11.07.2021;2.8;1430.8
3522;1;15571;7;11.07.2021;11;249
3523;1;811186;3;11.07.2021;14;116
2470;1;302339;99;14.07.2021;0.15;3366.15
